parameter,health_state,base_value,low_value,high_value,unit,source_parameter,source_key,source_title,source_url,notes
annual_cost_hd,HD,37800.0,33600.0,42000.0,SGD_per_year,hd_annual_cost,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Annual HD cost used in base Markov model.
annual_cost_pd,PD,18840.0,16800.0,20700.0,SGD_per_year,pd_blended_annual_cost,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Annual blended PD cost used in base Markov model.
annual_cost_switched_pd_to_hd,Switched_PD_to_HD,37800.0,33600.0,42000.0,SGD_per_year,hd_annual_cost,DUKE_MYKIDNEY_COSTS,Duke-NUS Lien Centre for Palliative Care. myKIDNEY: Comparing treatment options,https://www.duke-nus.edu.sg/lcpc/mykidney/treatment-options/comparing-treatment-options,Assumed equal to annual HD cost after PD technique failure or modality switch.
annual_cost_death,Death,0.0,0.0,0.0,SGD_per_year,model_convention,DRUMMOND_2015,Drummond MF et al. Methods for the Economic Evaluation of Health Care Programmes. 4th ed.,NA,No ongoing dialysis cost assigned after death in this simplified model.
