year,scenario,incident_patients_per_year,pd_suitable_share,eligible_patients_per_year,pd_uptake,hd_uptake,notes,source_key,source_title,source_url,data_origin
2026.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2026.0,low_pd_adoption,2190.0,0.6,1314.0,0.21,0.79,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2026.0,base_pd_adoption,2190.0,0.6,1314.0,0.22,0.78,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2026.0,high_pd_adoption,2190.0,0.6,1314.0,0.25,0.75,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2027.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2027.0,low_pd_adoption,2190.0,0.6,1314.0,0.23,0.77,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2027.0,base_pd_adoption,2190.0,0.6,1314.0,0.24,0.76,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2027.0,high_pd_adoption,2190.0,0.6,1314.0,0.3,0.7,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2028.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2028.0,low_pd_adoption,2190.0,0.6,1314.0,0.25,0.75,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2028.0,base_pd_adoption,2190.0,0.6,1314.0,0.26,0.74,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2028.0,high_pd_adoption,2190.0,0.6,1314.0,0.34,0.6599999999999999,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2029.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2029.0,low_pd_adoption,2190.0,0.6,1314.0,0.26,0.74,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2029.0,base_pd_adoption,2190.0,0.6,1314.0,0.28,0.72,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2029.0,high_pd_adoption,2190.0,0.6,1314.0,0.37,0.63,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2030.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2030.0,low_pd_adoption,2190.0,0.6,1314.0,0.27,0.73,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2030.0,base_pd_adoption,2190.0,0.6,1314.0,0.3,0.7,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
2030.0,high_pd_adoption,2190.0,0.6,1314.0,0.4,0.6,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
