strategy,cycle,start_cycle,cost,qalys,life_years,undiscounted_cost,undiscounted_qalys,undiscounted_life_years,discount_factor_costs,discount_factor_qalys,cohort_start_year,calendar_year,pd_uptake_at_start,cohort_size,comparison_group,bia_scenario
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2030,2030,0.19,1314.0,current_practice,low_pd_adoption
base_pd_adoption,1,0,44188243.2,773.6832,1314.0,44188243.2,773.6832,1314.0,1.0,1.0,2026,2026,0.22,1314.0,scenario,base_pd_adoption
base_pd_adoption,2,1,39513472.704,678.649464,1156.32,39513472.704,678.649464,1156.32,1.0,1.0,2026,2027,0.22,1314.0,scenario,base_pd_adoption
base_pd_adoption,3,2,35232106.87008,595.57670208,1017.5616,35232106.87008,595.57670208,1017.5616,1.0,1.0,2026,2028,0.22,1314.0,scenario,base_pd_adoption
base_pd_adoption,4,3,31341927.8218176,522.8837575416001,895.454208,31341927.8218176,522.8837575416001,895.454208,1.0,1.0,2026,2029,0.22,1314.0,scenario,base_pd_adoption
base_pd_adoption,5,4,27828869.184440352,459.21800031955206,787.9997030400001,27828869.184440352,459.21800031955206,787.9997030400001,1.0,1.0,2026,2030,0.22,1314.0,scenario,base_pd_adoption
base_pd_adoption,1,0,43689974.4,774.7343999999999,1314.0,43689974.4,774.7343999999999,1314.0,1.0,1.0,2027,2027,0.24,1314.0,scenario,base_pd_adoption
base_pd_adoption,2,1,39154719.168000005,679.3274879999999,1156.32,39154719.168000005,679.3274879999999,1156.32,1.0,1.0,2027,2028,0.24,1314.0,scenario,base_pd_adoption
base_pd_adoption,3,2,34974551.727359995,595.9939233599998,1017.5616,34974551.727359995,595.9939233599998,1017.5616,1.0,1.0,2027,2029,0.24,1314.0,scenario,base_pd_adoption
base_pd_adoption,4,3,31157683.9641792,523.1206985471999,895.4542079999999,31157683.9641792,523.1206985471999,895.4542079999999,1.0,1.0,2027,2030,0.24,1314.0,scenario,base_pd_adoption
base_pd_adoption,1,0,43191705.6,775.7855999999999,1314.0,43191705.6,775.7855999999999,1314.0,1.0,1.0,2028,2028,0.26,1314.0,scenario,base_pd_adoption
base_pd_adoption,2,1,38795965.632,680.005512,1156.32,38795965.632,680.005512,1156.32,1.0,1.0,2028,2029,0.26,1314.0,scenario,base_pd_adoption
base_pd_adoption,3,2,34716996.584640004,596.41114464,1017.5616,34716996.584640004,596.41114464,1017.5616,1.0,1.0,2028,2030,0.26,1314.0,scenario,base_pd_adoption
base_pd_adoption,1,0,42693436.8,776.8367999999999,1314.0,42693436.8,776.8367999999999,1314.0,1.0,1.0,2029,2029,0.28,1314.0,scenario,base_pd_adoption
base_pd_adoption,2,1,38437212.09599999,680.6835359999999,1156.32,38437212.09599999,680.6835359999999,1156.32,1.0,1.0,2029,2030,0.28,1314.0,scenario,base_pd_adoption
base_pd_adoption,1,0,42195168.0,777.8879999999999,1314.0,42195168.0,777.8879999999999,1314.0,1.0,1.0,2030,2030,0.3,1314.0,scenario,base_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2026,2026,0.19,1314.0,current_practice,base_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2026,2027,0.19,1314.0,current_practice,base_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2026,2028,0.19,1314.0,current_practice,base_pd_adoption
current_practice,4,3,31618293.608275205,522.5283460332,895.4542080000001,31618293.608275205,522.5283460332,895.4542080000001,1.0,1.0,2026,2029,0.19,1314.0,current_practice,base_pd_adoption
current_practice,5,4,28025694.53606031,459.0468077585041,787.9997030400002,28025694.53606031,459.0468077585041,787.9997030400002,1.0,1.0,2026,2030,0.19,1314.0,current_practice,base_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2027,2027,0.19,1314.0,current_practice,base_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2027,2028,0.19,1314.0,current_practice,base_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2027,2029,0.19,1314.0,current_practice,base_pd_adoption
current_practice,4,3,31618293.608275205,522.5283460332,895.4542080000001,31618293.608275205,522.5283460332,895.4542080000001,1.0,1.0,2027,2030,0.19,1314.0,current_practice,base_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2028,2028,0.19,1314.0,current_practice,base_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2028,2029,0.19,1314.0,current_practice,base_pd_adoption
current_practice,3,2,35618439.58416001,594.9508701600001,1017.5616000000002,35618439.58416001,594.9508701600001,1017.5616000000002,1.0,1.0,2028,2030,0.19,1314.0,current_practice,base_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2029,2029,0.19,1314.0,current_practice,base_pd_adoption
current_practice,2,1,40051603.008000016,677.632428,1156.3200000000002,40051603.008000016,677.632428,1156.3200000000002,1.0,1.0,2029,2030,0.19,1314.0,current_practice,base_pd_adoption
current_practice,1,0,44935646.400000006,772.1064000000001,1314.0000000000002,44935646.400000006,772.1064000000001,1314.0000000000002,1.0,1.0,2030,2030,0.19,1314.0,current_practice,base_pd_adoption
