scenario,five_year_incremental_cost,five_year_incremental_qalys,five_year_incremental_life_years,year_5_incremental_cost,year_5_cumulative_incremental_cost
base_pd_adoption,-15890210.78457366,30.780404183446194,-3.865352482534945e-12,-5913747.307235986,-15890210.78457366
high_pd_adoption,-32737986.576686412,63.30012414969394,-3.865352482534945e-12,-11799259.714651138,-32737986.576686412
low_pd_adoption,-12364066.722315304,23.960707070829812,-3.865352482534945e-12,-4521082.620516807,-12364066.722315304
